emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8,emg9,emg10,emg11,emg12,label
-1.5606175087920356e-06,-1.675744907458357e-06,-3.950327113254812e-07,-3.135254187347648e-07,6.977142268760593e-08,3.7333356338796526e-07,8.960210819335473e-07,-3.4310387064015612e-06,1.0353813423297651e-07,-5.012132372366787e-06,1.113721904586657e-07,1.8384049297061227e-07,2
-5.819187906807544e-06,-7.441484581875927e-06,-3.987219138501405e-06,-7.978159795160783e-07,-2.6171504459784825e-06,5.247628064335659e-07,-7.955219496363699e-06,-6.091280915063519e-05,-2.1521979687836678e-07,7.105806777924698e-07,6.69215004344181e-07,1.7893643433117465e-05,2
-4.720116986733037e-06,-8.550659948334351e-06,-5.185524337916743e-06,-8.889628996186093e-07,-3.376270289559738e-06,-1.2563751554011986e-06,-2.25342346320601e-05,-8.597880432410056e-05,-7.322989600494455e-07,-2.081607761318511e-06,-1.2053459234902658e-06,8.532033280527176e-06,2
-5.373600571371621e-07,-6.595043675858391e-06,-4.275323206793816e-06,-1.4162484473001308e-06,-2.2107903352312064e-06,-3.86782802010527e-06,-3.5551582517297066e-05,-6.395761184479356e-05,-4.957692054745545e-06,-6.098734637044431e-06,-2.965028225883291e-06,-1.1860863143616563e-06,2
2.8006355317982898e-06,-6.20080765517738e-06,-2.7187070843782216e-06,-1.5752792914346786e-06,2.147102540611533e-07,-4.861876544725938e-06,-4.4219935848538805e-05,-1.981480131708419e-05,-9.840710672837206e-06,-8.21474737856816e-06,-2.225867771748117e-06,1.0584619246212051e-06,2
2.0257768559816817e-06,-8.87794827544753e-06,-1.2730929816641725e-06,-7.812900812581138e-07,9.700538871421924e-07,-3.6870630552975467e-06,-5.029714050495185e-05,4.884585125061402e-06,-1.1667346102120337e-05,-1.1743044563148313e-05,-1.3531274126352249e-06,1.8184762228744217e-06,2
-2.9618219903779216e-06,-1.410940827736068e-05,-9.824432290664535e-08,1.8861754910311812e-07,-1.3352509951015016e-06,-3.1383753801728277e-06,-5.0310125159215204e-05,4.558877570504952e-06,-1.142643343591763e-05,-1.5965259828863456e-05,-1.4443152926018712e-06,-4.877772949246921e-06,2
-6.0998119725791345e-06,-1.9255091711948177e-05,3.430701085722177e-07,1.319266169521459e-06,-2.5472749857834148e-06,-3.0646088994769016e-06,-3.768894738092183e-05,3.970387881635799e-06,-1.0010837486350071e-05,-1.8796671458613473e-05,-7.358117828738585e-07,-1.8402367346403524e-05,2
-2.8855034701521765e-06,-1.5720547896856863e-05,4.578773720468234e-07,1.7771779538273846e-06,-1.74549314002985e-06,-6.816088573297285e-07,-1.4044770922374211e-05,1.0446208854989773e-05,-8.47125883961705e-06,-1.702837686686758e-05,6.030893462052101e-07,-2.808748800688646e-05,2
2.304533373819575e-06,2.6990108387592164e-06,8.085793047911524e-07,1.0756409942610386e-06,-2.0234308398455364e-06,1.4896019258661566e-06,6.44132152928962e-06,1.2531033667513013e-05,-7.01975627970561e-06,-1.1156952021334104e-05,1.503183809098994e-06,-2.2847154847985684e-05,2
