emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8,emg9,emg10,emg11,emg12,label
3.732071e-05,1.3996124e-06,2.2011773e-06,8.808132e-07,2.3457783e-06,-1.3222744e-06,-1.626098e-05,1.36981025e-05,-4.56116e-07,-5.080193e-06,6.577255e-07,-1.2102552e-05,3
3.5474346e-05,-1.4539465e-06,-3.1656128e-07,-7.9797485e-07,1.2121667e-06,-3.336301e-06,-1.2233529e-05,3.0487316e-05,-4.564844e-07,-3.4017007e-06,-3.49446e-07,-1.19299675e-05,3
2.0200041e-05,-4.8110533e-06,-3.505697e-06,-1.8053669e-06,1.499903e-07,-4.3432333e-06,-6.359735e-06,3.2841497e-05,-1.2115395e-07,-2.0589068e-06,-1.5244653e-06,-1.2260926e-05,3
8.786268e-06,-4.8111756e-06,-4.177094e-06,-9.664158e-07,3.1224988e-07,-5.0144686e-06,-1.1573404e-06,3.8552666e-05,3.8202754e-07,7.9453014e-07,-6.8529573e-07,-1.2591879e-05,3
7.2755993e-06,-1.7900118e-06,-3.3378478e-06,2.0823144e-07,8.5210814e-07,-3.5036626e-06,5.2199994e-06,5.097781e-05,1.0530588e-06,3.480118e-06,-1.8182196e-07,-1.3426374e-05,3
9.457612e-06,1.9025473e-06,-4.0092445e-06,8.793337e-07,-3.1787172e-07,-3.839199e-06,1.1597334e-05,6.138876e-05,-7.9364753e-07,4.8229117e-06,9.930469e-07,-1.3085919e-05,3
1.0128982e-05,5.427257e-06,-4.6806417e-06,2.2218321e-06,-6.8850784e-07,-4.5104366e-06,1.428199e-05,6.5925e-05,-1.8011077e-06,5.8300075e-06,2.0000678e-06,-1.22419115e-05,3
1.02968015e-05,6.937775e-06,-3.505697e-06,2.0536866e-06,6.4734337e-07,-4.174576e-06,1.4784602e-05,7.4657466e-05,-4.5867702e-07,9.019142e-06,9.928967e-07,-1.2572843e-05,3
1.2478811e-05,6.601951e-06,-1.6593552e-06,2.38909e-06,2.55276e-06,-2.4959227e-06,1.5790765e-05,9.0271766e-05,2.8979455e-06,1.170473e-05,-3.4997225e-07,-1.3239467e-05,3
1.5332218e-05,5.9304252e-06,-1.4871206e-07,3.2280407e-06,3.872892e-06,-4.815728e-07,1.5118429e-05,8.65834e-05,8.9401565e-06,5.9978565e-06,-6.8574616e-07,-1.4409634e-05,3
1.8185623e-05,6.6016964e-06,1.0262326e-06,4.0669916e-06,5.147597e-06,2.8755717e-06,1.142481e-05,5.1675077e-05,1.011474e-05,-7.765781e-06,-1.4421981e-08,-1.6083344e-05,3
1.8017741e-05,6.601568e-06,2.8725742e-06,4.5702445e-06,5.5651e-06,5.2256196e-06,8.066887e-06,1.1731282e-05,6.9252446e-06,-2.0522322e-05,4.8905025e-07,-1.5407159e-05,3
1.3485777e-05,4.0836994e-06,1.5297803e-06,4.5699494e-06,4.7513267e-06,4.2186825e-06,7.730251e-06,-1.0420489e-05,6.2534887e-06,-2.4550704e-05,1.3282206e-06,-1.3388174e-05,3
7.946719e-06,-2.8050957e-07,-4.512792e-06,3.2268604e-06,3.4580044e-06,2.7081985e-06,1.3100489e-05,-2.2837e-05,8.6030195e-06,-2.1529419e-05,1.663846e-06,-1.32155255e-05,3
3.7504515e-06,-2.7983792e-06,-1.0387515e-05,1.3802245e-06,3.0169174e-06,3.0440553e-06,1.9813519e-05,-3.8946193e-05,9.609757e-06,-1.5822545e-05,1.3280714e-06,-1.606416e-05,3
3.2468668e-06,-2.6306614e-06,-1.07232145e-05,1.5477788e-06,3.1037519e-06,4.3870045e-06,2.2833867e-05,-5.3041193e-05,7.259512e-06,-1.0954917e-05,2.670791e-06,-1.8409239e-05,3
5.7645684e-06,2.2264356e-07,-8.541174e-06,4.065222e-06,3.3052827e-06,7.576298e-06,2.2497223e-05,-5.471534e-05,1.887981e-06,-6.255138e-06,4.3492096e-06,-1.7565178e-05,3
6.939474e-06,3.9151937e-06,-7.030531e-06,3.8970784e-06,3.6511212e-06,8.247852e-06,2.1489188e-05,-4.9004124e-05,4.128461e-08,-2.0589068e-06,6.866874e-06,-1.6385413e-05,3
6.1001883e-06,5.2578544e-06,-5.855586e-06,2.2182921e-06,3.7836955e-06,6.905214e-06,2.0145451e-05,-4.3460746e-05,5.747804e-06,1.1302286e-06,7.706046e-06,-1.7723381e-05,3
5.0930526e-06,6.264815e-06,-3.673546e-06,1.5466007e-06,4.5149036e-06,6.401822e-06,2.165515e-05,-3.7581674e-05,1.1118627e-05,3.480118e-06,6.866726e-06,-2.1914782e-05,3
4.757313e-06,7.607474e-06,1.8698641e-07,2.2177035e-06,4.464349e-06,5.059183e-06,2.2997003e-05,-3.6234524e-05,9.104084e-06,3.480118e-06,5.5238575e-06,-2.4595534e-05,3
4.7572707e-06,8.950133e-06,4.3832174e-06,4.06375e-06,4.7733856e-06,4.3879395e-06,2.45067e-05,-4.2272735e-05,4.5718034e-06,2.808721e-06,5.523784e-06,-2.6101337e-05,3
2.0716395e-06,1.1803434e-05,6.397408e-06,5.4062502e-06,6.567448e-06,5.563039e-06,2.5009302e-05,-4.864664e-05,3.564357e-06,2.3051732e-06,7.2022026e-06,-2.6432188e-05,3
-1.10444894e-07,1.43210345e-05,8.411599e-06,5.2381074e-06,6.9799107e-06,7.4095346e-06,2.3162016e-05,-4.343895e-05,5.913897e-06,1.8016256e-06,8.377073e-06,-2.2231106e-05,3
-3.971022e-06,1.3985199e-05,1.2272132e-05,4.7342664e-06,6.0814455e-06,6.2347435e-06,1.9971932e-05,-2.5139012e-05,7.75989e-06,2.3051732e-06,5.355712e-06,-1.7358621e-05,3
-9.677944e-06,9.956677e-06,1.478987e-05,4.9018217e-06,5.0812296e-06,3.8850076e-06,1.6110453e-05,-2.9785397e-06,7.591693e-06,3.647967e-06,3.3414483e-06,-1.7353761e-05,3
-1.4042071e-05,7.606649e-06,1.3782775e-05,5.405075e-06,3.3103486e-06,2.206667e-06,1.09061775e-05,1.3810761e-05,4.7379085e-06,5.494309e-06,2.8378256e-06,-2.1041576e-05,3
-1.5552761e-05,1.0795645e-05,1.4622021e-05,3.8941384e-06,1.714276e-07,2.4780093e-08,2.6806165e-06,2.6235986e-05,1.5484263e-06,5.662158e-06,8.2356195e-07,-2.5736485e-05,3
-1.2867223e-05,1.4991736e-05,1.7979006e-05,2.0116099e-07,-2.6403911e-06,-3.3320532e-06,-1.0412574e-05,3.7989816e-05,-2.4803005e-06,3.647967e-06,-1.6942496e-06,-3.0095685e-05,3
-8.335344e-06,1.4655894e-05,2.2678783e-05,-2.4847184e-06,-4.5405886e-06,-7.1924337e-06,-2.6191352e-05,4.4708173e-05,-6.341177e-06,2.137324e-06,-8.5507804e-07,-3.5797675e-05,3
-9.006792e-06,4.08125e-06,2.0328895e-05,-2.8207116e-06,-5.3864183e-06,-9.542174e-06,-3.6934656e-05,4.101988e-05,-9.866355e-06,4.8229117e-06,6.5549256e-07,-3.780698e-05,3
-1.5217266e-05,-1.1361023e-05,7.068805e-06,-2.8210047e-06,-3.840183e-06,-9.542024e-06,-4.281033e-05,2.4575049e-05,-1.2216588e-05,6.333555e-06,-1.8382674e-07,-1.8667275e-05,3
-2.0420644e-05,-1.5893096e-05,-1.6593552e-06,-1.1428058e-06,-3.0895558e-07,-8.534776e-06,-4.751106e-05,4.1018397e-06,-1.3224025e-05,2.3051732e-06,-1.6049977e-08,1.9607249e-05,3
-1.9077905e-05,-6.8293816e-06,2.033328e-06,8.7109333e-07,-3.4400307e-07,-7.86323e-06,-4.3483633e-05,-8.650302e-06,-1.23851205e-05,-3.7373993e-06,6.5527286e-07,5.083211e-05,3
-2.0252905e-05,1.5629354e-06,9.418694e-06,1.9940252e-07,-3.3736603e-06,-7.0238348e-06,-2.720321e-05,-9.149445e-06,-1.037127e-05,-7.597932e-06,1.1587467e-06,5.687959e-05,3
-2.5791986e-05,3.2412825e-06,1.1097187e-05,-3.3257243e-06,-4.992125e-06,-5.513043e-06,-1.0083543e-05,-1.0882738e-06,-9.196664e-06,-8.101479e-06,6.5512677e-07,4.1778072e-05,3
-2.46171e-05,2.2340387e-06,5.054614e-06,-7.522247e-06,-4.8460656e-06,-5.8485953e-06,-3.874076e-06,7.8121475e-06,-6.3435646e-06,-8.605027e-06,-6.877412e-07,1.7948398e-05,3
-1.3371257e-05,3.7445352e-06,-1.4871206e-07,-8.193937e-06,-3.9085703e-06,-6.5198433e-06,-6.057071e-06,9.495054e-06,-5.6725057e-06,-9.108576e-06,-1.6949081e-06,3.291539e-07,3
-3.8039082e-06,5.422879e-06,-7.3662295e-06,-6.6835864e-06,-3.9945926e-06,-4.673355e-06,-8.072218e-06,1.6105579e-06,-6.5120876e-06,-5.9194394e-06,-3.7091718e-06,-9.065476e-06,3
5.763438e-06,6.933374e-06,-1.9451374e-05,-3.494743e-06,-5.6461286e-06,-2.323317e-06,-5.219738e-06,7.1540044e-06,-4.4982326e-06,1.6337763e-06,-4.2127936e-06,-1.0571185e-05,3
1.9023468e-05,5.9261274e-06,-2.9522329e-05,-4.737481e-07,-4.9261944e-06,-1.1482274e-06,4.0110103e-06,3.988903e-05,-8.058845e-07,1.28796755e-05,-3.8771664e-06,-8.887753e-06,3
2.8590814e-05,2.401143e-06,-3.606845e-05,3.6520487e-07,-3.327244e-07,-1.1480813e-06,1.4416704e-05,9.310167e-05,1.879369e-06,2.1943535e-05,-4.0450896e-06,-8.88281e-06,3
2.5905161e-05,-1.1238419e-06,-3.7243393e-05,8.6846194e-07,3.6160866e-06,-1.4836337e-06,2.0458318e-05,0.00014111097,3.2218293e-06,2.5971916e-05,-3.5416122e-06,-1.1563448e-05,3
1.449135e-05,-5.488073e-06,-3.388641e-05,1.539567e-06,3.817652e-06,-4.7639253e-07,2.6164234e-05,0.00016260012,3.5571954e-06,2.6475464e-05,-3.2059868e-06,-1.4244082e-05,3
4.420331e-06,-9.348759e-06,-2.5158248e-05,1.5392753e-06,2.9871123e-06,5.308472e-07,3.2541546e-05,0.00015437994,4.0604114e-06,2.4293424e-05,-3.03821e-06,-1.4406973e-05,3
2.0703767e-06,-9.1810625e-06,-1.39123495e-05,1.9618878e-07,4.3486577e-07,1.9529354e-07,3.5729718e-05,0.00012652142,2.3815885e-06,2.1607837e-05,-5.3881713e-06,-1.1548572e-05,3
5.0915964e-06,-5.6563827e-06,-4.344943e-06,-1.3147458e-06,-5.114821e-07,-1.9866027e-06,3.3211018e-05,7.701033e-05,8.706162e-07,2.076859e-05,-6.7310375e-06,-7.850919e-06,3
5.595077e-06,-2.9709495e-06,5.054614e-06,-1.986433e-06,-1.4025557e-06,-4.5041993e-06,2.7671029e-05,2.4897165e-06,8.702873e-07,1.9425795e-05,-4.8847687e-06,-6.3353023e-06,3
2.7415717e-06,-2.635406e-06,1.5964815e-05,-4.3366135e-06,-3.1079373e-06,-4.504056e-06,1.7095563e-05,-8.780872e-05,1.8770545e-06,1.4893867e-05,-3.7098957e-06,-7.5052676e-06,3
-6.1548366e-07,-3.3069591e-06,2.3853729e-05,-7.0224937e-06,-4.8373677e-06,-3.4968166e-06,-2.6022791e-08,-0.00016770052,6.5765057e-06,9.354841e-06,-3.7099676e-06,-1.05215695e-05,3
-4.140388e-06,-2.8035681e-06,2.1839538e-05,-8.029879e-06,-6.2717518e-06,-4.1680714e-06,-1.6476213e-05,-0.00021872221,1.1443807e-05,4.6550626e-06,-4.5492866e-06,-1.2195073e-05,3
-6.993895e-06,-2.4680278e-06,1.2272132e-05,-8.533719e-06,-6.6677458e-06,-5.678575e-06,-2.5373189e-05,-0.00024406299,1.2450578e-05,2.9098243e-07,-5.3886033e-06,-9.504492e-06,3
-8.50461e-06,-2.468186e-06,5.2224636e-06,-9.205405e-06,-6.1562523e-06,-7.860472e-06,-2.9906083e-05,-0.00022509157,9.428966e-06,-4.073098e-06,-4.885128e-06,-1.2748793e-06,3
-9.343929e-06,-2.1326473e-06,2.033328e-06,-9.037847e-06,-5.0731987e-06,-6.853236e-06,-2.8899954e-05,-0.00014519085,7.5823014e-06,-8.26933e-06,-2.5353106e-06,7.961833e-06,3
-9.344003e-06,-2.1328071e-06,-8.20109e-07,-6.8560985e-06,-2.0030718e-06,-2.6568653e-06,-1.8158571e-05,-5.7233385e-05,7.078431e-06,-1.0283519e-05,-1.8549231e-07,1.1659525e-05,3
-6.1549445e-06,-1.6294197e-06,-3.505697e-06,-5.010047e-06,-1.1488296e-07,1.0359596e-06,-7.08149e-06,-1.4427354e-05,6.574561e-06,-1.0283519e-05,1.9964762e-06,7.804007e-06,3
-2.6301866e-06,-7.903349e-07,-6.359134e-06,-5.3460353e-06,-5.031575e-07,4.560933e-06,-2.3826808e-06,-5.191168e-06,6.9099387e-06,-9.444273e-06,3.3391987e-06,-9.1913506e-07,3
-6.160725e-07,2.1659902e-07,-5.855586e-06,-4.5070788e-06,1.6066733e-07,5.9038643e-06,9.733347e-07,-1.6618532e-06,7.916714e-06,-9.779971e-06,4.6819214e-06,-8.803025e-06,3
3.909456e-07,2.9020243e-06,-3.3378478e-06,-1.4860838e-06,1.2025836e-06,5.568305e-06,4.161501e-06,1.5317671e-06,6.573601e-06,-9.108576e-06,4.514e-06,-1.2826377e-05,3
-1.2876253e-06,3.2375597e-06,-1.3236568e-06,6.9566727e-07,2.0496911e-06,5.904141e-06,6.678269e-06,1.0327063e-06,1.873504e-06,-8.437179e-06,3.1711359e-06,-1.601048e-05,3
-3.637594e-06,2.5659965e-06,-1.6593552e-06,5.275274e-07,1.6820267e-07,5.9042786e-06,6.1737505e-06,7.014989e-07,-3.4979892e-06,-8.605027e-06,1.3247218e-06,-1.818748e-05,3
-2.6305809e-06,2.5658317e-06,-8.20109e-07,-1.4415934e-07,-1.855827e-06,4.561624e-06,4.326436e-06,4.5665247e-06,-7.526688e-06,-8.940726e-06,-1.8599128e-07,-1.8182438e-05,3
3.9062434e-07,4.579857e-06,-4.844105e-07,3.59098e-07,-1.7948205e-06,4.226061e-06,2.97082e-07,1.3970579e-05,-1.0883989e-05,-9.444273e-06,9.888818e-07,-1.7002443e-05,3
2.2368836e-06,5.9224844e-06,-1.4871206e-07,5.266585e-07,3.6630482e-07,3.5548012e-06,-3.9001225e-06,2.7235168e-05,-1.2059248e-05,-8.605027e-06,3.842249e-06,-1.4143953e-05,3
4.754539e-06,4.9152236e-06,1.0262326e-06,1.3656161e-06,1.3022643e-06,4.562033e-06,-4.7403414e-06,3.8149872e-05,-1.0884617e-05,-7.597932e-06,2.667232e-06,-1.0110513e-05,3
5.425851e-06,2.9008645e-06,2.8725742e-06,3.211668e-06,1.3841338e-06,6.744209e-06,-1.3843309e-06,3.6308036e-05,-5.849454e-06,-9.108576e-06,6.5297127e-07,-6.9163148e-06,3
4.754369e-06,2.061449e-06,4.7189155e-06,4.0506247e-06,1.0768713e-06,8.087138e-06,1.9716788e-06,2.036687e-05,2.4958148e-08,-1.0451368e-05,-3.541954e-07,-5.4006036e-06,3
4.250733e-06,2.5648267e-06,5.3903127e-06,2.2039947e-06,1.1244643e-06,7.751572e-06,9.63605e-07,8.454086e-06,5.395822e-06,-9.779971e-06,-3.5426598e-07,-6.738324e-06,3
5.7612897e-06,3.9074516e-06,5.2224636e-06,1.3644598e-06,1.6886543e-06,6.2410636e-06,-1.5551076e-06,7.6193573e-06,9.088195e-06,-6.5908366e-06,-1.8648649e-07,-9.418834e-06,3
7.103996e-06,6.928568e-06,6.229559e-06,3.378361e-06,3.7925474e-06,5.9054983e-06,-2.0596317e-06,1.1820107e-05,1.0094981e-05,-1.0518115e-06,-6.9010594e-07,-9.74945e-06,3
7.4396044e-06,9.949682e-06,6.7331066e-06,4.7208673e-06,5.8404808e-06,4.059291e-06,-1.0535156e-06,1.2999574e-05,1.26124105e-05,3.1444195e-06,-1.8651193e-06,-8.737267e-06,3
7.439514e-06,1.2970795e-05,5.3903127e-06,4.8884276e-06,6.183491e-06,-3.046555e-07,-1.558041e-06,9.982812e-06,1.999747e-05,4.151515e-06,-2.2008896e-06,-8.396476e-06,3
8.614367e-06,1.7334702e-05,4.3832174e-06,5.3916865e-06,4.9747723e-06,-2.990112e-06,-4.580307e-06,1.0658738e-05,2.3018449e-05,2.6408718e-06,-1.8917758e-08,-8.055681e-06,3
1.0460617e-05,2.1027212e-05,6.7331066e-06,6.5663435e-06,4.029343e-06,-4.7224108e-07,-7.099027e-06,2.0230676e-05,1.39542835e-05,-4.4716103e-08,1.9952022e-06,-5.0292915e-06,3
1.331396e-05,1.9684245e-05,7.068805e-06,7.4053014e-06,4.311998e-06,1.5420815e-06,-7.4357054e-06,3.819508e-05,2.5402303e-06,-3.4017007e-06,2.6665282e-06,-6.601059e-07,3
