experiment_id,category,method_family,model,dataset,subject_setting,split_mode,evaluation_level,noise_type,noise_level,denoise_method,accuracy,macro_f1,std_accuracy,std_macro_f1,source_metrics_file,notes
ml_noise_clean_lvl0p0_none_lda,noise_robustness,ML,LDA,db5,subjects=1-3 (5-fold CV),5-fold CV,window,clean,0.0,none,0.377031,0.375997,0.008123,0.007888,report\robust_db5_noise.csv,ML robust eval (TD/FD/AR + 5-fold CV)
ml_noise_clean_lvl0p0_none_svm_rbf,noise_robustness,ML,SVM_RBF,db5,subjects=1-3 (5-fold CV),5-fold CV,window,clean,0.0,none,0.725927,0.726739,0.004064,0.003912,report\robust_db5_noise.csv,ML robust eval (TD/FD/AR + 5-fold CV)
ml_noise_clean_lvl0p0_none_rf,noise_robustness,ML,RF,db5,subjects=1-3 (5-fold CV),5-fold CV,window,clean,0.0,none,0.920780,0.920732,0.004725,0.004709,report\robust_db5_noise.csv,ML robust eval (TD/FD/AR + 5-fold CV)
ml_noise_wgn_lvl20p0_none_lda,noise_robustness,ML,LDA,db5,subjects=1-3 (5-fold CV),5-fold CV,window,wgn,20.0,none,0.369547,0.368054,0.004867,0.004874,report\robust_db5_noise.csv,ML robust eval (TD/FD/AR + 5-fold CV)
ml_noise_wgn_lvl20p0_none_svm_rbf,noise_robustness,ML,SVM_RBF,db5,subjects=1-3 (5-fold CV),5-fold CV,window,wgn,20.0,none,0.724971,0.725727,0.003443,0.003254,report\robust_db5_noise.csv,ML robust eval (TD/FD/AR + 5-fold CV)
ml_noise_wgn_lvl20p0_none_rf,noise_robustness,ML,RF,db5,subjects=1-3 (5-fold CV),5-fold CV,window,wgn,20.0,none,0.913432,0.913395,0.004327,0.004276,report\robust_db5_noise.csv,ML robust eval (TD/FD/AR + 5-fold CV)
ml_noise_wgn_lvl20p0_notch_lda,noise_robustness,ML,LDA,db5,subjects=1-3 (5-fold CV),5-fold CV,window,wgn,20.0,notch,0.365422,0.364134,0.005451,0.005095,report\robust_db5_noise.csv,ML robust eval (TD/FD/AR + 5-fold CV)
ml_noise_wgn_lvl20p0_notch_svm_rbf,noise_robustness,ML,SVM_RBF,db5,subjects=1-3 (5-fold CV),5-fold CV,window,wgn,20.0,notch,0.723523,0.724308,0.005363,0.005233,report\robust_db5_noise.csv,ML robust eval (TD/FD/AR + 5-fold CV)
ml_noise_wgn_lvl20p0_notch_rf,noise_robustness,ML,RF,db5,subjects=1-3 (5-fold CV),5-fold CV,window,wgn,20.0,notch,0.909471,0.909425,0.003348,0.003390,report\robust_db5_noise.csv,ML robust eval (TD/FD/AR + 5-fold CV)
ml_noise_wgn_lvl20p0_wavelet_lda,noise_robustness,ML,LDA,db5,subjects=1-3 (5-fold CV),5-fold CV,window,wgn,20.0,wavelet,0.286912,0.284302,0.006167,0.006289,report\robust_db5_noise.csv,ML robust eval (TD/FD/AR + 5-fold CV)
ml_noise_wgn_lvl20p0_wavelet_svm_rbf,noise_robustness,ML,SVM_RBF,db5,subjects=1-3 (5-fold CV),5-fold CV,window,wgn,20.0,wavelet,0.538176,0.538011,0.008967,0.008839,report\robust_db5_noise.csv,ML robust eval (TD/FD/AR + 5-fold CV)
ml_noise_wgn_lvl20p0_wavelet_rf,noise_robustness,ML,RF,db5,subjects=1-3 (5-fold CV),5-fold CV,window,wgn,20.0,wavelet,0.654547,0.654875,0.008744,0.008435,report\robust_db5_noise.csv,ML robust eval (TD/FD/AR + 5-fold CV)
ml_noise_wgn_lvl20p0_kalman_lda,noise_robustness,ML,LDA,db5,subjects=1-3 (5-fold CV),5-fold CV,window,wgn,20.0,kalman,0.341847,0.341071,0.004174,0.004391,report\robust_db5_noise.csv,ML robust eval (TD/FD/AR + 5-fold CV)
ml_noise_wgn_lvl20p0_kalman_svm_rbf,noise_robustness,ML,SVM_RBF,db5,subjects=1-3 (5-fold CV),5-fold CV,window,wgn,20.0,kalman,0.726009,0.726677,0.003212,0.003026,report\robust_db5_noise.csv,ML robust eval (TD/FD/AR + 5-fold CV)
ml_noise_wgn_lvl20p0_kalman_rf,noise_robustness,ML,RF,db5,subjects=1-3 (5-fold CV),5-fold CV,window,wgn,20.0,kalman,0.803480,0.803760,0.003882,0.003787,report\robust_db5_noise.csv,ML robust eval (TD/FD/AR + 5-fold CV)
ml_noise_wgn_lvl20p0_pca_lda,noise_robustness,ML,LDA,db5,subjects=1-3 (5-fold CV),5-fold CV,window,wgn,20.0,pca,0.316688,0.313683,0.009046,0.008945,report\robust_db5_noise.csv,ML robust eval (TD/FD/AR + 5-fold CV)
ml_noise_wgn_lvl20p0_pca_svm_rbf,noise_robustness,ML,SVM_RBF,db5,subjects=1-3 (5-fold CV),5-fold CV,window,wgn,20.0,pca,0.652580,0.654201,0.006443,0.006092,report\robust_db5_noise.csv,ML robust eval (TD/FD/AR + 5-fold CV)
ml_noise_wgn_lvl20p0_pca_rf,noise_robustness,ML,RF,db5,subjects=1-3 (5-fold CV),5-fold CV,window,wgn,20.0,pca,0.861666,0.861862,0.005077,0.004945,report\robust_db5_noise.csv,ML robust eval (TD/FD/AR + 5-fold CV)
ml_noise_wgn_lvl10p0_none_lda,noise_robustness,ML,LDA,db5,subjects=1-3 (5-fold CV),5-fold CV,window,wgn,10.0,none,0.353730,0.352351,0.003949,0.003995,report\robust_db5_noise.csv,ML robust eval (TD/FD/AR + 5-fold CV)
ml_noise_wgn_lvl10p0_none_svm_rbf,noise_robustness,ML,SVM_RBF,db5,subjects=1-3 (5-fold CV),5-fold CV,window,wgn,10.0,none,0.716694,0.717501,0.003256,0.003075,report\robust_db5_noise.csv,ML robust eval (TD/FD/AR + 5-fold CV)
ml_noise_wgn_lvl10p0_none_rf,noise_robustness,ML,RF,db5,subjects=1-3 (5-fold CV),5-fold CV,window,wgn,10.0,none,0.880433,0.880345,0.005615,0.005629,report\robust_db5_noise.csv,ML robust eval (TD/FD/AR + 5-fold CV)
ml_noise_wgn_lvl10p0_notch_lda,noise_robustness,ML,LDA,db5,subjects=1-3 (5-fold CV),5-fold CV,window,wgn,10.0,notch,0.351353,0.349992,0.005647,0.005544,report\robust_db5_noise.csv,ML robust eval (TD/FD/AR + 5-fold CV)
ml_noise_wgn_lvl10p0_notch_svm_rbf,noise_robustness,ML,SVM_RBF,db5,subjects=1-3 (5-fold CV),5-fold CV,window,wgn,10.0,notch,0.711531,0.712155,0.005962,0.005537,report\robust_db5_noise.csv,ML robust eval (TD/FD/AR + 5-fold CV)
ml_noise_wgn_lvl10p0_notch_rf,noise_robustness,ML,RF,db5,subjects=1-3 (5-fold CV),5-fold CV,window,wgn,10.0,notch,0.876772,0.876761,0.002692,0.002668,report\robust_db5_noise.csv,ML robust eval (TD/FD/AR + 5-fold CV)
ml_noise_wgn_lvl10p0_wavelet_lda,noise_robustness,ML,LDA,db5,subjects=1-3 (5-fold CV),5-fold CV,window,wgn,10.0,wavelet,0.277898,0.275287,0.006090,0.006687,report\robust_db5_noise.csv,ML robust eval (TD/FD/AR + 5-fold CV)
ml_noise_wgn_lvl10p0_wavelet_svm_rbf,noise_robustness,ML,SVM_RBF,db5,subjects=1-3 (5-fold CV),5-fold CV,window,wgn,10.0,wavelet,0.527741,0.527634,0.004239,0.004000,report\robust_db5_noise.csv,ML robust eval (TD/FD/AR + 5-fold CV)
ml_noise_wgn_lvl10p0_wavelet_rf,noise_robustness,ML,RF,db5,subjects=1-3 (5-fold CV),5-fold CV,window,wgn,10.0,wavelet,0.634360,0.634184,0.003381,0.003080,report\robust_db5_noise.csv,ML robust eval (TD/FD/AR + 5-fold CV)
ml_noise_wgn_lvl10p0_kalman_lda,noise_robustness,ML,LDA,db5,subjects=1-3 (5-fold CV),5-fold CV,window,wgn,10.0,kalman,0.328298,0.326795,0.003766,0.003879,report\robust_db5_noise.csv,ML robust eval (TD/FD/AR + 5-fold CV)
ml_noise_wgn_lvl10p0_kalman_svm_rbf,noise_robustness,ML,SVM_RBF,db5,subjects=1-3 (5-fold CV),5-fold CV,window,wgn,10.0,kalman,0.715218,0.716013,0.003507,0.003519,report\robust_db5_noise.csv,ML robust eval (TD/FD/AR + 5-fold CV)
ml_noise_wgn_lvl10p0_kalman_rf,noise_robustness,ML,RF,db5,subjects=1-3 (5-fold CV),5-fold CV,window,wgn,10.0,kalman,0.775808,0.775992,0.005569,0.005476,report\robust_db5_noise.csv,ML robust eval (TD/FD/AR + 5-fold CV)
ml_noise_wgn_lvl10p0_pca_lda,noise_robustness,ML,LDA,db5,subjects=1-3 (5-fold CV),5-fold CV,window,wgn,10.0,pca,0.302155,0.298394,0.006541,0.006113,report\robust_db5_noise.csv,ML robust eval (TD/FD/AR + 5-fold CV)
ml_noise_wgn_lvl10p0_pca_svm_rbf,noise_robustness,ML,SVM_RBF,db5,subjects=1-3 (5-fold CV),5-fold CV,window,wgn,10.0,pca,0.644713,0.646218,0.008801,0.008566,report\robust_db5_noise.csv,ML robust eval (TD/FD/AR + 5-fold CV)
ml_noise_wgn_lvl10p0_pca_rf,noise_robustness,ML,RF,db5,subjects=1-3 (5-fold CV),5-fold CV,window,wgn,10.0,pca,0.819406,0.819757,0.007834,0.007848,report\robust_db5_noise.csv,ML robust eval (TD/FD/AR + 5-fold CV)
ml_noise_wgn_lvl0p0_none_lda,noise_robustness,ML,LDA,db5,subjects=1-3 (5-fold CV),5-fold CV,window,wgn,0.0,none,0.304423,0.301589,0.005350,0.005017,report\robust_db5_noise.csv,ML robust eval (TD/FD/AR + 5-fold CV)
ml_noise_wgn_lvl0p0_none_svm_rbf,noise_robustness,ML,SVM_RBF,db5,subjects=1-3 (5-fold CV),5-fold CV,window,wgn,0.0,none,0.680444,0.681088,0.004862,0.004804,report\robust_db5_noise.csv,ML robust eval (TD/FD/AR + 5-fold CV)
ml_noise_wgn_lvl0p0_none_rf,noise_robustness,ML,RF,db5,subjects=1-3 (5-fold CV),5-fold CV,window,wgn,0.0,none,0.792553,0.792457,0.005866,0.005825,report\robust_db5_noise.csv,ML robust eval (TD/FD/AR + 5-fold CV)
ml_noise_wgn_lvl0p0_notch_lda,noise_robustness,ML,LDA,db5,subjects=1-3 (5-fold CV),5-fold CV,window,wgn,0.0,notch,0.305952,0.302874,0.006892,0.006931,report\robust_db5_noise.csv,ML robust eval (TD/FD/AR + 5-fold CV)
ml_noise_wgn_lvl0p0_notch_svm_rbf,noise_robustness,ML,SVM_RBF,db5,subjects=1-3 (5-fold CV),5-fold CV,window,wgn,0.0,notch,0.680580,0.681194,0.005660,0.005584,report\robust_db5_noise.csv,ML robust eval (TD/FD/AR + 5-fold CV)
ml_noise_wgn_lvl0p0_notch_rf,noise_robustness,ML,RF,db5,subjects=1-3 (5-fold CV),5-fold CV,window,wgn,0.0,notch,0.786817,0.786774,0.007510,0.007415,report\robust_db5_noise.csv,ML robust eval (TD/FD/AR + 5-fold CV)
ml_noise_wgn_lvl0p0_wavelet_lda,noise_robustness,ML,LDA,db5,subjects=1-3 (5-fold CV),5-fold CV,window,wgn,0.0,wavelet,0.263064,0.258272,0.004376,0.004337,report\robust_db5_noise.csv,ML robust eval (TD/FD/AR + 5-fold CV)
ml_noise_wgn_lvl0p0_wavelet_svm_rbf,noise_robustness,ML,SVM_RBF,db5,subjects=1-3 (5-fold CV),5-fold CV,window,wgn,0.0,wavelet,0.528451,0.528293,0.006530,0.006412,report\robust_db5_noise.csv,ML robust eval (TD/FD/AR + 5-fold CV)
ml_noise_wgn_lvl0p0_wavelet_rf,noise_robustness,ML,RF,db5,subjects=1-3 (5-fold CV),5-fold CV,window,wgn,0.0,wavelet,0.618598,0.618176,0.003606,0.003374,report\robust_db5_noise.csv,ML robust eval (TD/FD/AR + 5-fold CV)
ml_noise_wgn_lvl0p0_kalman_lda,noise_robustness,ML,LDA,db5,subjects=1-3 (5-fold CV),5-fold CV,window,wgn,0.0,kalman,0.292021,0.288121,0.004679,0.004693,report\robust_db5_noise.csv,ML robust eval (TD/FD/AR + 5-fold CV)
ml_noise_wgn_lvl0p0_kalman_svm_rbf,noise_robustness,ML,SVM_RBF,db5,subjects=1-3 (5-fold CV),5-fold CV,window,wgn,0.0,kalman,0.682356,0.683004,0.004003,0.003927,report\robust_db5_noise.csv,ML robust eval (TD/FD/AR + 5-fold CV)
ml_noise_wgn_lvl0p0_kalman_rf,noise_robustness,ML,RF,db5,subjects=1-3 (5-fold CV),5-fold CV,window,wgn,0.0,kalman,0.727402,0.727527,0.005785,0.005753,report\robust_db5_noise.csv,ML robust eval (TD/FD/AR + 5-fold CV)
ml_noise_wgn_lvl0p0_pca_lda,noise_robustness,ML,LDA,db5,subjects=1-3 (5-fold CV),5-fold CV,window,wgn,0.0,pca,0.259677,0.253439,0.006876,0.006667,report\robust_db5_noise.csv,ML robust eval (TD/FD/AR + 5-fold CV)
ml_noise_wgn_lvl0p0_pca_svm_rbf,noise_robustness,ML,SVM_RBF,db5,subjects=1-3 (5-fold CV),5-fold CV,window,wgn,0.0,pca,0.611577,0.612584,0.009752,0.009376,report\robust_db5_noise.csv,ML robust eval (TD/FD/AR + 5-fold CV)
ml_noise_wgn_lvl0p0_pca_rf,noise_robustness,ML,RF,db5,subjects=1-3 (5-fold CV),5-fold CV,window,wgn,0.0,pca,0.726036,0.726439,0.006150,0.005903,report\robust_db5_noise.csv,ML robust eval (TD/FD/AR + 5-fold CV)
ml_noise_wgn_lvlneg5p0_none_lda,noise_robustness,ML,LDA,db5,subjects=1-3 (5-fold CV),5-fold CV,window,wgn,-5.0,none,0.288087,0.283551,0.004430,0.004481,report\robust_db5_noise.csv,ML robust eval (TD/FD/AR + 5-fold CV)
ml_noise_wgn_lvlneg5p0_none_svm_rbf,noise_robustness,ML,SVM_RBF,db5,subjects=1-3 (5-fold CV),5-fold CV,window,wgn,-5.0,none,0.668943,0.669595,0.002321,0.002195,report\robust_db5_noise.csv,ML robust eval (TD/FD/AR + 5-fold CV)
ml_noise_wgn_lvlneg5p0_none_rf,noise_robustness,ML,RF,db5,subjects=1-3 (5-fold CV),5-fold CV,window,wgn,-5.0,none,0.771792,0.771588,0.007080,0.006965,report\robust_db5_noise.csv,ML robust eval (TD/FD/AR + 5-fold CV)
ml_noise_wgn_lvlneg5p0_notch_lda,noise_robustness,ML,LDA,db5,subjects=1-3 (5-fold CV),5-fold CV,window,wgn,-5.0,notch,0.289070,0.284677,0.005270,0.005357,report\robust_db5_noise.csv,ML robust eval (TD/FD/AR + 5-fold CV)
ml_noise_wgn_lvlneg5p0_notch_svm_rbf,noise_robustness,ML,SVM_RBF,db5,subjects=1-3 (5-fold CV),5-fold CV,window,wgn,-5.0,notch,0.664518,0.665055,0.004702,0.004704,report\robust_db5_noise.csv,ML robust eval (TD/FD/AR + 5-fold CV)
ml_noise_wgn_lvlneg5p0_notch_rf,noise_robustness,ML,RF,db5,subjects=1-3 (5-fold CV),5-fold CV,window,wgn,-5.0,notch,0.771574,0.771515,0.005309,0.005211,report\robust_db5_noise.csv,ML robust eval (TD/FD/AR + 5-fold CV)
ml_noise_wgn_lvlneg5p0_wavelet_lda,noise_robustness,ML,LDA,db5,subjects=1-3 (5-fold CV),5-fold CV,window,wgn,-5.0,wavelet,0.257355,0.252217,0.003983,0.003847,report\robust_db5_noise.csv,ML robust eval (TD/FD/AR + 5-fold CV)
ml_noise_wgn_lvlneg5p0_wavelet_svm_rbf,noise_robustness,ML,SVM_RBF,db5,subjects=1-3 (5-fold CV),5-fold CV,window,wgn,-5.0,wavelet,0.532794,0.532710,0.005133,0.005018,report\robust_db5_noise.csv,ML robust eval (TD/FD/AR + 5-fold CV)
ml_noise_wgn_lvlneg5p0_wavelet_rf,noise_robustness,ML,RF,db5,subjects=1-3 (5-fold CV),5-fold CV,window,wgn,-5.0,wavelet,0.620810,0.620325,0.008439,0.008436,report\robust_db5_noise.csv,ML robust eval (TD/FD/AR + 5-fold CV)
ml_noise_wgn_lvlneg5p0_kalman_lda,noise_robustness,ML,LDA,db5,subjects=1-3 (5-fold CV),5-fold CV,window,wgn,-5.0,kalman,0.281066,0.276150,0.005568,0.005563,report\robust_db5_noise.csv,ML robust eval (TD/FD/AR + 5-fold CV)
ml_noise_wgn_lvlneg5p0_kalman_svm_rbf,noise_robustness,ML,SVM_RBF,db5,subjects=1-3 (5-fold CV),5-fold CV,window,wgn,-5.0,kalman,0.667577,0.668098,0.003638,0.003572,report\robust_db5_noise.csv,ML robust eval (TD/FD/AR + 5-fold CV)
ml_noise_wgn_lvlneg5p0_kalman_rf,noise_robustness,ML,RF,db5,subjects=1-3 (5-fold CV),5-fold CV,window,wgn,-5.0,kalman,0.712651,0.712581,0.007062,0.007030,report\robust_db5_noise.csv,ML robust eval (TD/FD/AR + 5-fold CV)
ml_noise_wgn_lvlneg5p0_pca_lda,noise_robustness,ML,LDA,db5,subjects=1-3 (5-fold CV),5-fold CV,window,wgn,-5.0,pca,0.253012,0.245557,0.009475,0.009435,report\robust_db5_noise.csv,ML robust eval (TD/FD/AR + 5-fold CV)
ml_noise_wgn_lvlneg5p0_pca_svm_rbf,noise_robustness,ML,SVM_RBF,db5,subjects=1-3 (5-fold CV),5-fold CV,window,wgn,-5.0,pca,0.600951,0.601862,0.005636,0.005591,report\robust_db5_noise.csv,ML robust eval (TD/FD/AR + 5-fold CV)
ml_noise_wgn_lvlneg5p0_pca_rf,noise_robustness,ML,RF,db5,subjects=1-3 (5-fold CV),5-fold CV,window,wgn,-5.0,pca,0.704428,0.704724,0.005267,0.005243,report\robust_db5_noise.csv,ML robust eval (TD/FD/AR + 5-fold CV)
ml_noise_pink_lvl20p0_none_lda,noise_robustness,ML,LDA,db5,subjects=1-3 (5-fold CV),5-fold CV,window,pink,20.0,none,0.367252,0.365873,0.005035,0.004678,report\robust_db5_noise.csv,ML robust eval (TD/FD/AR + 5-fold CV)
ml_noise_pink_lvl20p0_none_svm_rbf,noise_robustness,ML,SVM_RBF,db5,subjects=1-3 (5-fold CV),5-fold CV,window,pink,20.0,none,0.726091,0.726868,0.004294,0.004192,report\robust_db5_noise.csv,ML robust eval (TD/FD/AR + 5-fold CV)
