experiment_id,category,dataset,subjects,gestures,subject_setting,split_strategy,evaluation_level,aggregation,model,augmentation,calibration,subject,test_fold,window_accuracy,window_macro_f1,repetition_accuracy,repetition_macro_f1,source_paths,notes
s1-3_loro_overall,main,db5,1-3,1-10,subject-dependent,leave-one-repetition-out,overall,logits_mean,dualres_xception2d,enabled,no,,,0.720063,0.719729,0.983333,0.983325,outputs/dl_subject_dependent/dualres_xception2d/*loro*_eval/*_predictions.csv,overall recomputed by concatenating LORO fold predictions
s1_loro_test1,main,db5,1-3,1-10,subject-dependent,leave-one-repetition-out,fold,logits_mean,dualres_xception2d,enabled,no,1,1,0.547246,0.540712,0.800000,0.733333,outputs/dl_subject_dependent/dualres_xception2d/s1_loro_test1_val2_eval,LORO fold-level evaluation
s1_loro_test2,main,db5,1-3,1-10,subject-dependent,leave-one-repetition-out,fold,logits_mean,dualres_xception2d,enabled,no,1,2,0.653222,0.652653,1.000000,1.000000,outputs/dl_subject_dependent/dualres_xception2d/s1_loro_test2_val1_eval,LORO fold-level evaluation
s1_loro_test3,main,db5,1-3,1-10,subject-dependent,leave-one-repetition-out,fold,logits_mean,dualres_xception2d,enabled,no,1,3,0.710660,0.707050,1.000000,1.000000,outputs/dl_subject_dependent/dualres_xception2d/s1_loro_test3_val1_eval,LORO fold-level evaluation
s1_loro_test4,main,db5,1-3,1-10,subject-dependent,leave-one-repetition-out,fold,logits_mean,dualres_xception2d,enabled,no,1,4,0.707196,0.706566,1.000000,1.000000,outputs/dl_subject_dependent/dualres_xception2d/s1_loro_test4_val1_eval,LORO fold-level evaluation
s1_loro_test5,main,db5,1-3,1-10,subject-dependent,leave-one-repetition-out,fold,logits_mean,dualres_xception2d,enabled,no,1,5,0.779434,0.778755,1.000000,1.000000,outputs/dl_subject_dependent/dualres_xception2d/s1_loro_test5_val1_eval,LORO fold-level evaluation
s1_loro_test6,main,db5,1-3,1-10,subject-dependent,leave-one-repetition-out,fold,logits_mean,dualres_xception2d,enabled,no,1,6,0.760870,0.760536,1.000000,1.000000,outputs/dl_subject_dependent/dualres_xception2d/s1_loro_test6_val1_eval,LORO fold-level evaluation
s2_loro_test1,main,db5,1-3,1-10,subject-dependent,leave-one-repetition-out,fold,logits_mean,dualres_xception2d,enabled,no,2,1,0.613039,0.615715,1.000000,1.000000,outputs/dl_subject_dependent/dualres_xception2d/s2_loro_test1_val2_eval,LORO fold-level evaluation
s2_loro_test2,main,db5,1-3,1-10,subject-dependent,leave-one-repetition-out,fold,logits_mean,dualres_xception2d,enabled,no,2,2,0.716846,0.716192,1.000000,1.000000,outputs/dl_subject_dependent/dualres_xception2d/s2_loro_test2_val1_eval,LORO fold-level evaluation
s2_loro_test3,main,db5,1-3,1-10,subject-dependent,leave-one-repetition-out,fold,logits_mean,dualres_xception2d,enabled,no,2,3,0.782676,0.783591,1.000000,1.000000,outputs/dl_subject_dependent/dualres_xception2d/s2_loro_test3_val1_eval,LORO fold-level evaluation
s2_loro_test4,main,db5,1-3,1-10,subject-dependent,leave-one-repetition-out,fold,logits_mean,dualres_xception2d,enabled,no,2,4,0.774987,0.776354,1.000000,1.000000,outputs/dl_subject_dependent/dualres_xception2d/s2_loro_test4_val1_eval,LORO fold-level evaluation
s2_loro_test5,main,db5,1-3,1-10,subject-dependent,leave-one-repetition-out,fold,logits_mean,dualres_xception2d,enabled,no,2,5,0.771429,0.767998,1.000000,1.000000,outputs/dl_subject_dependent/dualres_xception2d/s2_loro_test5_val1_eval,LORO fold-level evaluation
s2_loro_test6,main,db5,1-3,1-10,subject-dependent,leave-one-repetition-out,fold,logits_mean,dualres_xception2d,enabled,no,2,6,0.802521,0.806220,1.000000,1.000000,outputs/dl_subject_dependent/dualres_xception2d/s2_loro_test6_val1_eval,LORO fold-level evaluation
s3_loro_test1,main,db5,1-3,1-10,subject-dependent,leave-one-repetition-out,fold,logits_mean,dualres_xception2d,enabled,no,3,1,0.618665,0.617268,0.900000,0.866667,outputs/dl_subject_dependent/dualres_xception2d/s3_loro_test1_val2_eval,LORO fold-level evaluation
s3_loro_test2,main,db5,1-3,1-10,subject-dependent,leave-one-repetition-out,fold,logits_mean,dualres_xception2d,enabled,no,3,2,0.719600,0.723141,1.000000,1.000000,outputs/dl_subject_dependent/dualres_xception2d/s3_loro_test2_val1_eval,LORO fold-level evaluation
s3_loro_test3,main,db5,1-3,1-10,subject-dependent,leave-one-repetition-out,fold,logits_mean,dualres_xception2d,enabled,no,3,3,0.787550,0.790755,1.000000,1.000000,outputs/dl_subject_dependent/dualres_xception2d/s3_loro_test3_val1_eval,LORO fold-level evaluation
s3_loro_test4,main,db5,1-3,1-10,subject-dependent,leave-one-repetition-out,fold,logits_mean,dualres_xception2d,enabled,no,3,4,0.742308,0.741077,1.000000,1.000000,outputs/dl_subject_dependent/dualres_xception2d/s3_loro_test4_val1_eval,LORO fold-level evaluation
s3_loro_test5,main,db5,1-3,1-10,subject-dependent,leave-one-repetition-out,fold,logits_mean,dualres_xception2d,enabled,no,3,5,0.768065,0.768375,1.000000,1.000000,outputs/dl_subject_dependent/dualres_xception2d/s3_loro_test5_val1_eval,LORO fold-level evaluation
s3_loro_test6,main,db5,1-3,1-10,subject-dependent,leave-one-repetition-out,fold,logits_mean,dualres_xception2d,enabled,no,3,6,0.736270,0.734958,1.000000,1.000000,outputs/dl_subject_dependent/dualres_xception2d/s3_loro_test6_val1_eval,LORO fold-level evaluation
