condition,method_family,model,noise_type,noise_level,denoise_method,accuracy,macro_f1,std_accuracy,std_macro_f1,source_metrics_file
clean@0.0 none,ML,LDA,clean,0.0,none,0.3770313580077681,0.375996538601272,0.008122780549112073,0.007888023717226534,report/robust_db5_noise.csv
clean@0.0 none,ML,SVM_RBF,clean,0.0,none,0.7259269124404465,0.7267389153701616,0.004064316087760636,0.003912431627581845,report/robust_db5_noise.csv
clean@0.0 none,ML,RF,clean,0.0,none,0.9207804208172462,0.9207315153383403,0.0047250438664110175,0.004708807304256996,report/robust_db5_noise.csv
clean@0.0 none,DL,dualres_xception2d,clean,0.0,none,0.608272,0.607411,0.011788,0.011147,outputs/dl_noise_eval_full/fold1/dualres_xception2d/clean_lvl0_none/metrics_summary.json;outputs/dl_noise_eval_full/fold2/dualres_xception2d/clean_lvl0_none/metrics_summary.json;outputs/dl_noise_eval_full/fold3/dualres_xception2d/clean_lvl0_none/metrics_summary.json;outputs/dl_noise_eval_full/fold4/dualres_xception2d/clean_lvl0_none/metrics_summary.json;outputs/dl_noise_eval_full/fold5/dualres_xception2d/clean_lvl0_none/metrics_summary.json
wgn@20.0 none,ML,LDA,wgn,20.0,none,0.3695465753328059,0.36805385011040614,0.004867132128290467,0.0048744124199737665,report/robust_db5_noise.csv
wgn@20.0 none,ML,SVM_RBF,wgn,20.0,none,0.7249707551784684,0.7257267602871631,0.0034431554599071356,0.003253572503232389,report/robust_db5_noise.csv
wgn@20.0 none,ML,RF,wgn,20.0,none,0.9134320785312211,0.9133945869661219,0.0043271496145973545,0.004275930051651399,report/robust_db5_noise.csv
wgn@20.0 none,DL,dualres_xception2d,wgn,20.0,none,0.605950,0.605200,0.011541,0.010702,outputs/dl_noise_eval_full/fold1/dualres_xception2d/wgn_lvl20p0_none/metrics_summary.json;outputs/dl_noise_eval_full/fold2/dualres_xception2d/wgn_lvl20p0_none/metrics_summary.json;outputs/dl_noise_eval_full/fold3/dualres_xception2d/wgn_lvl20p0_none/metrics_summary.json;outputs/dl_noise_eval_full/fold4/dualres_xception2d/wgn_lvl20p0_none/metrics_summary.json;outputs/dl_noise_eval_full/fold5/dualres_xception2d/wgn_lvl20p0_none/metrics_summary.json
wgn@10.0 none,ML,LDA,wgn,10.0,none,0.35373009383079684,0.3523505411417628,0.003949349440152416,0.00399496009903018,report/robust_db5_noise.csv
wgn@10.0 none,ML,SVM_RBF,wgn,10.0,none,0.7166936265373329,0.7175009710144542,0.003256383185681328,0.003075391790982399,report/robust_db5_noise.csv
wgn@10.0 none,ML,RF,wgn,10.0,none,0.880433017745832,0.8803453108661785,0.00561466389365719,0.005629383820143006,report/robust_db5_noise.csv
wgn@10.0 none,DL,dualres_xception2d,wgn,10.0,none,0.574645,0.573656,0.016950,0.015105,outputs/dl_noise_eval_full/fold1/dualres_xception2d/wgn_lvl10p0_none/metrics_summary.json;outputs/dl_noise_eval_full/fold2/dualres_xception2d/wgn_lvl10p0_none/metrics_summary.json;outputs/dl_noise_eval_full/fold3/dualres_xception2d/wgn_lvl10p0_none/metrics_summary.json;outputs/dl_noise_eval_full/fold4/dualres_xception2d/wgn_lvl10p0_none/metrics_summary.json;outputs/dl_noise_eval_full/fold5/dualres_xception2d/wgn_lvl10p0_none/metrics_summary.json
motion@0.3 none,ML,LDA,motion,0.3,none,0.3479935681353693,0.3465254887728867,0.004407218271734619,0.004369410321229269,report/robust_db5_noise.csv
motion@0.3 none,ML,SVM_RBF,motion,0.3,none,0.7132244387126556,0.7139897261087376,0.0037052902814998807,0.003599091005232022,report/robust_db5_noise.csv
motion@0.3 none,ML,RF,motion,0.3,none,0.8688231640551939,0.8688300797851362,0.006422524330593125,0.006363401819976074,report/robust_db5_noise.csv
motion@0.3 none,DL,dualres_xception2d,motion,0.3,none,0.562407,0.561933,0.016625,0.014099,outputs/dl_noise_eval_full/fold1/dualres_xception2d/motion_lvl0p3_none/metrics_summary.json;outputs/dl_noise_eval_full/fold2/dualres_xception2d/motion_lvl0p3_none/metrics_summary.json;outputs/dl_noise_eval_full/fold3/dualres_xception2d/motion_lvl0p3_none/metrics_summary.json;outputs/dl_noise_eval_full/fold4/dualres_xception2d/motion_lvl0p3_none/metrics_summary.json;outputs/dl_noise_eval_full/fold5/dualres_xception2d/motion_lvl0p3_none/metrics_summary.json
drift@0.3 none,ML,LDA,drift,0.3,none,0.359548564350043,0.3580937546374213,0.00560082567257505,0.005596885944972422,report/robust_db5_noise.csv
drift@0.3 none,ML,SVM_RBF,drift,0.3,none,0.7268010465267734,0.7276142403702204,0.0038907784723582342,0.0036933448974424666,report/robust_db5_noise.csv
drift@0.3 none,ML,RF,drift,0.3,none,0.9035432750789946,0.9035507624576559,0.005558522983409575,0.00550305596631433,report/robust_db5_noise.csv
drift@0.3 none,DL,dualres_xception2d,drift,0.3,none,0.534899,0.535968,0.022528,0.018790,outputs/dl_noise_eval_full/fold1/dualres_xception2d/drift_lvl0p3_none/metrics_summary.json;outputs/dl_noise_eval_full/fold2/dualres_xception2d/drift_lvl0p3_none/metrics_summary.json;outputs/dl_noise_eval_full/fold3/dualres_xception2d/drift_lvl0p3_none/metrics_summary.json;outputs/dl_noise_eval_full/fold4/dualres_xception2d/drift_lvl0p3_none/metrics_summary.json;outputs/dl_noise_eval_full/fold5/dualres_xception2d/drift_lvl0p3_none/metrics_summary.json
