model,acc_mean,acc_std,macro_f1_mean,macro_f1_std,noise,level,denoise
LDA,0.3770313580077681,0.008122780549112073,0.375996538601272,0.007888023717226534,clean,0.0,none
SVM_RBF,0.7259269124404465,0.004064316087760636,0.7267389153701616,0.003912431627581845,clean,0.0,none
RF,0.9207804208172462,0.0047250438664110175,0.9207315153383403,0.004708807304256996,clean,0.0,none
LDA,0.3695465753328059,0.004867132128290467,0.36805385011040614,0.0048744124199737665,wgn,20.0,none
SVM_RBF,0.7249707551784684,0.0034431554599071356,0.7257267602871631,0.003253572503232389,wgn,20.0,none
RF,0.9134320785312211,0.0043271496145973545,0.9133945869661219,0.004275930051651399,wgn,20.0,none
LDA,0.36542171698639,0.0054514491746974845,0.3641336831449132,0.005094755956654566,wgn,20.0,notch
SVM_RBF,0.7235230297116492,0.0053629988960126615,0.7243083739870768,0.005233265665978317,wgn,20.0,notch
RF,0.9094710762530855,0.003348162064241739,0.9094248302888225,0.0033904182432242086,wgn,20.0,notch
LDA,0.28691237478024645,0.006166566836494749,0.28430183824069616,0.006289012168393824,wgn,20.0,wavelet
SVM_RBF,0.538175691746877,0.008966812926602036,0.5380106846576137,0.008839438896733734,wgn,20.0,wavelet
RF,0.6545469974999423,0.008743750744874853,0.6548747382631545,0.008435447964901966,wgn,20.0,wavelet
LDA,0.3418471765413419,0.004173639740896493,0.3410708796253618,0.00439114490463546,wgn,20.0,kalman
SVM_RBF,0.7260088236849083,0.0032124475208337912,0.7266770585486482,0.003025667933703063,wgn,20.0,kalman
RF,0.8034802578193171,0.0038815035007324777,0.8037603464821371,0.0037873669781914037,wgn,20.0,kalman
LDA,0.316688007591621,0.009046297647368843,0.3136828300051389,0.008944923294849312,wgn,20.0,pca
SVM_RBF,0.6525803851559692,0.006443323103360648,0.6542009443257648,0.006092223349400261,wgn,20.0,pca
RF,0.8616659256200083,0.005077371699673215,0.8618619776722134,0.004944936283331796,wgn,20.0,pca
LDA,0.35373009383079684,0.003949349440152416,0.3523505411417628,0.00399496009903018,wgn,10.0,none
SVM_RBF,0.7166936265373329,0.003256383185681328,0.7175009710144542,0.003075391790982399,wgn,10.0,none
RF,0.880433017745832,0.00561466389365719,0.8803453108661785,0.005629383820143006,wgn,10.0,none
LDA,0.3513534178431225,0.005647398637055562,0.3499916644849708,0.005543795263644858,wgn,10.0,notch
SVM_RBF,0.7115308563881424,0.005962226392845544,0.7121547926751738,0.005537211183968085,wgn,10.0,notch
RF,0.8767723119249139,0.0026915416135035687,0.876761282601997,0.0026675411491781597,wgn,10.0,notch
LDA,0.27789772406954494,0.006090016718730503,0.27528731541234175,0.006687351926468272,wgn,10.0,wavelet
SVM_RBF,0.5277406155864705,0.004239205492204095,0.5276339440706082,0.004000315283773878,wgn,10.0,wavelet
RF,0.6343595060416912,0.0033813293845624827,0.6341835542541959,0.0030799481051212037,wgn,10.0,wavelet
LDA,0.3282977605441885,0.0037657114018832334,0.3267950040168441,0.0038793117172235413,wgn,10.0,kalman
SVM_RBF,0.7152184518118133,0.0035070147497265557,0.7160128736954301,0.0035187221327500516,wgn,10.0,kalman
RF,0.7758080321896192,0.005569180612971093,0.7759923781203286,0.005475913683062706,wgn,10.0,kalman
LDA,0.3021554327985473,0.006540979524282025,0.29839445289977645,0.006112544576485086,wgn,10.0,pca
SVM_RBF,0.6447132380756626,0.008800693013450298,0.6462183721046081,0.008566344468543746,wgn,10.0,pca
RF,0.8194062192177569,0.007833685106005168,0.8197572284086798,0.007848431936612653,wgn,10.0,pca
LDA,0.30442266620018726,0.005349542937891892,0.3015891225764365,0.005017217922254428,wgn,0.0,none
SVM_RBF,0.6804437071744274,0.004862253185714611,0.6810875392921325,0.00480398911820457,wgn,0.0,none
RF,0.7925534642124832,0.0058663289189926655,0.7924574103318174,0.005825231196537993,wgn,0.0,none
LDA,0.3059523178356269,0.006892042785023681,0.30287391987970547,0.006931145549185918,wgn,0.0,notch
SVM_RBF,0.6805801997979195,0.005660298361675889,0.6811941660341703,0.005583977640414593,wgn,0.0,notch
RF,0.7868170243309678,0.007510340258572984,0.7867740453414329,0.007415141997160713,wgn,0.0,notch
LDA,0.2630644722532095,0.004376069882828252,0.2582724741699297,0.004336790514367818,wgn,0.0,wavelet
SVM_RBF,0.5284507443629307,0.006530125622202841,0.5282926589805141,0.006411638215390915,wgn,0.0,wavelet
RF,0.6185976656153468,0.0036058294909983757,0.6181756152858812,0.003374142000812108,wgn,0.0,wavelet
LDA,0.29202074264030975,0.0046794061239886645,0.2881213648319861,0.00469286683485581,wgn,0.0,kalman
SVM_RBF,0.6823557978360044,0.004003286377966987,0.6830039419062535,0.003927066624590365,wgn,0.0,kalman
RF,0.7274020573176488,0.005785474288583238,0.7275271797596486,0.005753295677971224,wgn,0.0,kalman
LDA,0.2596773187973024,0.006875735504453124,0.25343939775196156,0.006667338588361395,wgn,0.0,pca
SVM_RBF,0.6115773936456887,0.009751715730675261,0.6125840083074255,0.009375935180740227,wgn,0.0,pca
RF,0.7260359707293971,0.006149845693368518,0.7264389247911293,0.005902577661598483,wgn,0.0,pca
LDA,0.2880869247170594,0.004429568358270738,0.2835505180113254,0.004480878411183262,wgn,-5.0,none
SVM_RBF,0.6689430796695239,0.002321249201593081,0.6695954092679435,0.002194643550881767,wgn,-5.0,none
RF,0.7717924261462155,0.007080303963616879,0.7715881919149679,0.0069650228030721005,wgn,-5.0,none
LDA,0.2890703596099139,0.005270233753085749,0.28467657102680016,0.005356840685311189,wgn,-5.0,notch
SVM_RBF,0.6645179397900491,0.004702360235444142,0.6650550704389151,0.0047041516810528644,wgn,-5.0,notch
RF,0.7715738767677152,0.0053087382279863714,0.7715151022295939,0.005211344416906079,wgn,-5.0,notch
LDA,0.2573549294365261,0.003983151295330511,0.25221730548043586,0.0038470988230233675,wgn,-5.0,wavelet
SVM_RBF,0.5327943572950276,0.0051334719384416826,0.5327097412770173,0.005017977314852057,wgn,-5.0,wavelet
RF,0.6208104482243442,0.00843905486159124,0.6203251642888834,0.008436198343965364,wgn,-5.0,wavelet
LDA,0.2810664773885379,0.0055675541887495825,0.27614967141458147,0.005563086576519174,wgn,-5.0,kalman
SVM_RBF,0.667577205750532,0.003638485762851269,0.6680978861968241,0.0035719308454352267,wgn,-5.0,kalman
RF,0.7126505824283479,0.007061542185464732,0.7125812237363984,0.0070299034977221635,wgn,-5.0,kalman
LDA,0.253011659760077,0.009474605628759968,0.24555656501378773,0.009435052340258978,wgn,-5.0,pca
SVM_RBF,0.6009509188823103,0.005635674576728419,0.6018615235517988,0.0055905656109377115,wgn,-5.0,pca
RF,0.704428255297582,0.005266707088039757,0.7047236869335629,0.005242712804306534,wgn,-5.0,pca
LDA,0.36725204564509134,0.005035397962499376,0.36587335742059396,0.004678106337154506,pink,20.0,none
SVM_RBF,0.726090809550163,0.004294192182709678,0.7268680436154703,0.004192409175917866,pink,20.0,none
RF,0.9129130983780762,0.004836254291733496,0.9128750746875628,0.004826238506024534,pink,20.0,none
LDA,0.3654216834070331,0.005027418298642758,0.3641902828991529,0.004696517436303586,pink,20.0,notch
SVM_RBF,0.7233045325677041,0.004823717020000355,0.7241058886939863,0.0046927194432747265,pink,20.0,notch
RF,0.9093344978156814,0.004257489906740954,0.9092416152676185,0.004209188013028871,pink,20.0,notch
LDA,0.28633873116519887,0.006648371989823463,0.2832906591972237,0.007082376863756855,pink,20.0,wavelet
SVM_RBF,0.5404705273798427,0.009658196930319987,0.5403419719425747,0.009460332791475099,pink,20.0,wavelet
RF,0.6547381722405353,0.006252036857853291,0.6548108887127746,0.00636644222087224,pink,20.0,wavelet
LDA,0.3386783597946749,0.003395869109447949,0.3374689145218868,0.0032920408630912985,pink,20.0,kalman
SVM_RBF,0.7263366104422622,0.003667017085278768,0.7271339796862135,0.0034889927829146253,pink,20.0,kalman
RF,0.8023330041685787,0.00512185974745797,0.8026642894899426,0.0049516068733607334,pink,20.0,kalman
LDA,0.3157594898713653,0.007960794989395871,0.3125443251302141,0.007886280325004833,pink,20.0,pca
SVM_RBF,0.6529629883478513,0.0086608824691761,0.6546270899559259,0.008375131586449695,pink,20.0,pca
RF,0.8589341479337074,0.0021542872985014687,0.8591446147858044,0.0020689268974737373,pink,20.0,pca
LDA,0.34711923257290145,0.006313148575444616,0.34552509607954146,0.006213217226747496,pink,10.0,none
SVM_RBF,0.7217474428666831,0.003894683879983421,0.7225412384182509,0.003832219044720143,pink,10.0,none
